codigo_onibus,distancia_percorrida,segundos_deslocamento,tecnologia,fase_conama,fator_consumo_l,fator_consumo_kg,consumo_l,consumo_kg,emissao_co2,emissao_mp,emissao_nox
3106,2503.785899348587,11618.0,Básico,P5,0.53,0.445,1.327006526654751,1.1141847252101211,3.54443443269484,0.0432303673381527,0.023377823904358764
3117,113066.90898340144,31506.0,Articulado (18m),P5,0.8,0.672,90.45352718672116,75.98096283684578,241.6013711157322,2.9480613580696162,1.594232562242698
3211,7636.302437482972,392.0,Padron,P7,0.63,0.529,4.8108705356142725,4.0396039894284925,12.849835200625721,0.002221782194185671,0.2656039623049234
5120,33113.02607146384,6517.0,Midiônibus,P5,0.47,0.395,15.563122253588006,13.079645298228218,41.56909953933356,0.5074902375712549,0.2744371176474245
7302,33360.39276727658,39040.0,Articulado (18m),P5,0.8,0.672,26.688314213821265,22.41818393960986,71.2844872651166,0.8698255368568626,0.47037833542089413
7314,890.7566800371758,2910.0,Midiônibus,P5,0.47,0.395,0.4186556396174726,0.35184888861468444,1.1182292134182692,0.013651736878249757,0.007382493380913309
7811,5874.037818384504,19849.0,Padron,P5,0.63,0.529,3.700643825582238,3.107366005925403,9.884419658130158,0.12056580102990565,0.06519875353632681
10001,191974.87545539287,54245.0,Padron,P8,0.63,0.529,120.9441715368975,101.55470911590282,323.0418821750532,0.002640422437013473,0.11292883653688393
10002,274956.8111008723,86202.0,Padron,P8,0.63,0.529,173.22279099354955,145.45215307236145,462.6780747437708,0.0037817559798813977,0.16174279421646592
10003,205354.93916272846,60413.0,Miniônibus,P5,0.35,0.294,71.87422870695497,60.374352113842164,191.9760648762767,2.342524862017076,1.2667746560526363
10004,122718.84298318782,35373.0,Articulado (18m),P7,0.8,0.672,98.17507438655025,82.46706248470221,262.22562368647567,0.04535688436658622,5.42220935836917
10005,9800.375329406012,2757.0,Biarticulado,P8,0.9,0.756,8.82033779646541,7.409083749030944,23.559122254359107,0.00019263617747480454,0.008238901128922409
10201,208778.73877130443,86226.0,Articulado (18m),P8,0.8,0.672,167.02299101704355,140.29931245431658,446.1184090065233,0.003647782123812231,0.15601283544920003
10202,204115.258048418,86214.0,Biarticulado,P7,0.9,0.756,183.7037322435762,154.31113508460402,490.672668822592,0.08487112429653222,10.145957131812715
10203,138014.12160152075,40598.0,Miniônibus,P5,0.35,0.294,48.304942560532254,40.576151750847096,129.02250157918164,1.5743546879328674,0.8513688160362738
10205,34022.29186478009,10323.0,Midiônibus,P5,0.47,0.395,15.990477176446642,13.438805286588138,42.71056453828898,0.5214256451196198,0.28197301252319235
10206,280635.7913219299,55328.0,Articulado (23m),P5,0.85,0.714,238.5404226236404,200.37395500385793,637.1414688277434,7.774509454149688,4.204246323890947
10207,295058.9518446385,58735.0,Midiônibus,P7,0.47,0.395,138.6777073669801,116.54828597863221,370.4081563772038,0.06410155728824772,7.663049803095068
10208,318843.6867646314,86223.0,Padron,P7,0.63,0.529,200.8715226617178,168.66831029849,536.5278370294482,0.09276757066416952,11.089941402125719
10209,212215.46740568447,60414.0,Básico,P5,0.53,0.445,112.47419772501279,94.4358829955296,300.4185821235091,3.6641122602265486,1.981453697012202
10211,187713.15990225843,60334.0,Articulado (18m),P7,0.8,0.672,150.17052792180675,126.14324345431768,401.1054800791458,0.06937878389987473,8.293918257121389
10213,218080.27639981615,86215.0,Biarticulado,P7,0.9,0.756,196.27224875983453,164.868688958261,524.243176437518,0.09067777892704355,10.840116299005661
10215,126673.24205656386,27906.0,Padron,P7,0.63,0.529,79.80414249563523,67.0101450479223,213.1568646058417,0.03685557977635726,4.405917036900891
10216,41885.49176532944,5217.0,Miniônibus,P5,0.35,0.294,14.659922117865303,12.314334579006855,39.156651976818225,0.477796181665466,0.25837936813672185
10217,170162.38060372404,19982.0,Miniônibus,P7,0.35,0.294,59.55683321130341,50.02773989749487,159.0763015073914,0.02751525694362218,3.289323898260288
