hora_requisicao,codigo_linha,nome_linha,letreiro,codigo_onibus,x,y,hora_gps,geometry
14:02:00,33873,414P-10,TERM. NORTE METRÔ CARRÃO - VL. INDUSTRIAL,3117,-46.5336215,-23.5853735,2025-10-16 14:02:22-03:00,POINT (343505.2290380945 7390839.001704136)
14:02:00,34490,7001-10,JD. ÂNGELA - VL. GILDA,7302,-46.781694,-23.7006965,2025-10-16 14:02:40-03:00,POINT (318345.3846430328 7377774.336960291)
14:02:00,34760,7004-10,EST. STO. AMARO/GUIDO CALOI - TERM. JD. JACIRA,7316,-46.7776975,-23.692423,2025-10-16 14:02:43-03:00,POINT (318741.51263700426 7378695.683259494)
14:02:00,2450,189L-10,LAPA - CONEXÃO VL. IÓRIO,10005,-46.710868000000005,-23.4866105,2025-10-16 14:02:08-03:00,POINT (325284.587390002 7401571.133566486)
14:02:00,2450,189L-10,LAPA - CONEXÃO VL. IÓRIO,10006,-46.7108055,-23.4874315,2025-10-16 14:02:25-03:00,POINT (325292.0535115632 7401480.2916203365)
14:02:00,2450,189L-10,LAPA - CONEXÃO VL. IÓRIO,10007,-46.70661375,-23.50178625,2025-10-16 14:02:32-03:00,POINT (325739.0854154605 7399895.731028347)
14:02:00,35218,189L-10,LAPA - CONEXÃO VL. IÓRIO,10008,-46.70176875,-23.51415575,2025-10-16 14:02:40-03:00,POINT (326250.1376024016 7398531.798541587)
14:02:00,35218,189L-10,LAPA - CONEXÃO VL. IÓRIO,10011,-46.702667,-23.5179265,2025-10-16 14:02:42-03:00,POINT (326163.3609296374 7398113.136034919)
14:02:00,34026,8008-10,TERM. PIRITUBA - HAB. TURÍSTICA,10201,-46.752313,-23.483385,2025-10-16 14:02:25-03:00,POINT (321046.934999272 7401877.328582834)
14:02:00,34026,8008-10,TERM. PIRITUBA - HAB. TURÍSTICA,10202,-46.734941500000005,-23.487548,2025-10-16 14:02:38-03:00,POINT (322826.92001598264 7401437.836533485)
14:02:00,34026,8008-10,TERM. PIRITUBA - HAB. TURÍSTICA,10203,-46.727972,-23.4883325,2025-10-16 14:02:11-03:00,POINT (323539.8419295937 7401359.536592523)
14:02:00,1258,8008-10,TERM. PIRITUBA - HAB. TURÍSTICA,10204,-46.7552685,-23.4837285,2025-10-16 14:02:29-03:00,POINT (320745.5074587057 7401835.60518153)
14:02:00,34026,8008-10,TERM. PIRITUBA - HAB. TURÍSTICA,10205,-46.756864,-23.475456,2025-10-16 14:02:04-03:00,POINT (320571.3384352567 7402749.7292806115)
14:02:00,1423,948A-10,METRÔ BARRA FUNDA - VL. ZATT,10206,-46.700479,-23.5232155,2025-10-16 14:02:09-03:00,POINT (326393.7328085555 7397530.0780691)
14:02:00,1423,948A-10,METRÔ BARRA FUNDA - VL. ZATT,10207,-46.728647,-23.4889055,2025-10-16 14:02:06-03:00,POINT (323471.6599730733 7401295.2527256925)
14:02:00,34191,948A-10,METRÔ BARRA FUNDA - VL. ZATT,10208,-46.7135935,-23.4694535,2025-10-16 14:02:28-03:00,POINT (324983.5544033579 7403467.791413982)
14:02:00,34022,8004-10,TERM. LAPA - HAB. TURÍSTICA,10210,-46.750852,-23.4842785,2025-10-16 14:02:07-03:00,POINT (321197.37525183597 7401780.199113239)
14:02:00,33233,958P-10,VL. OLÍMPIA - JD. NARDINI,10211,-46.7585985,-23.4800695,2025-10-16 14:02:11-03:00,POINT (320400.40498841985 7402236.653724699)
14:02:00,33233,958P-10,VL. OLÍMPIA - JD. NARDINI,10213,-46.7584765,-23.48044,2025-10-16 14:02:17-03:00,POINT (320413.3690072334 7402195.77614175)
14:02:00,33233,958P-10,VL. OLÍMPIA - JD. NARDINI,10214,-46.7390265,-23.50070625,2025-10-16 14:02:29-03:00,POINT (322427.30691996525 7399975.6265203)
14:02:00,33233,958P-10,VL. OLÍMPIA - JD. NARDINI,10215,-46.6835165,-23.5834015,2025-10-16 14:02:30-03:00,POINT (328204.1016150044 7390885.485155714)
14:02:00,465,958P-10,VL. OLÍMPIA - JD. NARDINI,10216,-46.6863195,-23.578369,2025-10-16 14:02:03-03:00,POINT (327911.4469466079 7391439.420969335)
14:02:00,33233,958P-10,VL. OLÍMPIA - JD. NARDINI,10217,-46.728971,-23.5330285,2025-10-16 14:02:12-03:00,POINT (323497.4053772432 7396408.606610363)
14:02:00,465,958P-10,VL. OLÍMPIA - JD. NARDINI,10218,-46.7394925,-23.505135,2025-10-16 14:02:24-03:00,POINT (322385.65332928085 7399484.602326821)
14:02:00,33233,958P-10,VL. OLÍMPIA - JD. NARDINI,10219,-46.7584765,-23.48044,2025-10-16 14:02:05-03:00,POINT (320413.3690072334 7402195.77614175)
14:02:00,33178,8047-41,METRÔ VL. MADALENA - JARAGUÁ,10220,-46.6901735,-23.5472365,2025-10-16 14:02:12-03:00,POINT (327477.4012447705 7394882.416600592)
14:02:00,410,8047-41,METRÔ VL. MADALENA - JARAGUÁ,10221,-46.7538845,-23.4903975,2025-10-16 14:02:16-03:00,POINT (320895.88988166425 7401098.791026234)
14:02:00,33178,8047-41,METRÔ VL. MADALENA - JARAGUÁ,10222,-46.754795,-23.434307,2025-10-16 14:02:23-03:00,POINT (320727.1230072628 7407309.226103703)
14:02:00,33178,8047-41,METRÔ VL. MADALENA - JARAGUÁ,10223,-46.747114,-23.506648,2025-10-16 14:02:28-03:00,POINT (321609.3180297549 7399307.600887883)
14:02:00,34110,847J-10,JAGUARÉ - CITY JARAGUÁ,10224,-46.6987555,-23.5168675,2025-10-16 14:02:20-03:00,POINT (326561.40463009593 7398235.142633446)
14:02:00,34110,847J-10,JAGUARÉ - CITY JARAGUÁ,10225,-46.73772699999999,-23.55572475,2025-10-16 14:01:57-03:00,POINT (322633.8188983075 7393884.368945681)
14:02:00,1342,847J-10,JAGUARÉ - CITY JARAGUÁ,10226,-46.718044,-23.522176,2025-10-16 14:02:35-03:00,POINT (324598.7318651634 7397623.831090642)
14:02:00,1342,847J-10,JAGUARÉ - CITY JARAGUÁ,10227,-46.717594000000005,-23.482552,2025-10-16 14:02:30-03:00,POINT (324592.21025009645 7402012.380616352)
14:02:00,34110,847J-10,JAGUARÉ - CITY JARAGUÁ,10228,-46.7346295,-23.436523,2025-10-16 14:02:36-03:00,POINT (322790.65681135317 7407088.786542095)
14:02:00,34110,847J-10,JAGUARÉ - CITY JARAGUÁ,10229,-46.734697,-23.4363585,2025-10-16 14:02:14-03:00,POINT (322783.54014509666 7407106.920322048)
14:02:00,34191,948A-10,METRÔ BARRA FUNDA - VL. ZATT,10230,-46.6726035,-23.526428000000003,2025-10-16 14:02:25-03:00,POINT (329244.3199549983 7397207.778403629)
14:02:00,406,8040-10,TERM. LAPA - SOL NASCENTE,10402,-46.71838,-23.5221375,2025-10-16 14:02:35-03:00,POINT (324564.37031524675 7397627.683857812)
14:02:00,420,8062-10,LAPA - PQ. SÃO DOMINGOS,10403,-46.71714,-23.507236,2025-10-16 14:02:19-03:00,POINT (324671.2541348577 7399279.4078092)
14:02:00,33175,8043-10,LAPA - HAB. TURÍSTICA,10407,-46.7566385,-23.47551,2025-10-16 14:02:19-03:00,POINT (320594.4467887286 7402744.030646389)
14:02:00,33176,8047-10,LAPA - JARAGUÁ,10408,-46.766291875,-23.49102875,2025-10-16 14:02:31-03:00,POINT (319629.4514507378 7401013.362167136)
14:02:00,408,8047-10,LAPA - JARAGUÁ,10409,-46.74457099999999,-23.447001,2025-10-16 14:02:38-03:00,POINT (321788.879645963 7405916.168749563)
14:02:00,33176,8047-10,LAPA - JARAGUÁ,10410,-46.70967375,-23.51994475,2025-10-16 14:02:32-03:00,POINT (325450.5117873846 7397881.12861724)
14:02:00,33176,8047-10,LAPA - JARAGUÁ,10411,-46.701916,-23.5196485,2025-10-16 14:02:38-03:00,POINT (326242.31207248534 7397923.350295042)
14:02:00,408,8047-10,LAPA - JARAGUÁ,10412,-46.7540715,-23.4791805,2025-10-16 14:02:15-03:00,POINT (320861.63005825947 7402340.753070543)
14:02:00,33176,8047-10,LAPA - JARAGUÁ,10413,-46.7468525,-23.447141,2025-10-16 14:02:12-03:00,POINT (321555.95872550656 7405897.837989203)
14:02:00,33176,8047-10,LAPA - JARAGUÁ,10416,-46.7532055,-23.460265,2025-10-16 14:02:26-03:00,POINT (320924.5553832132 7404436.571748894)
14:02:00,1252,8002-10,TERM. LAPA - TERM. PIRITUBA,10420,-46.733435,-23.508913,2025-10-16 14:02:08-03:00,POINT (323009.34650891076 7399073.700484922)
14:02:00,408,8047-10,LAPA - JARAGUÁ,10423,-46.754850375,-23.5003249375,2025-10-16 14:02:38-03:00,POINT (320810.6633830045 7399998.198715275)
14:02:00,408,8047-10,LAPA - JARAGUÁ,10424,-46.7143895,-23.51443425,2025-10-16 14:02:09-03:00,POINT (324961.6697155146 7398485.6230192315)
14:02:00,1251,8001-10,TERM. LAPA - VL. PIAUÍ,10427,-46.714955,-23.514592125,2025-10-16 14:02:34-03:00,POINT (324904.129458952 7398467.4500413)
14:02:00,34019,8001-10,TERM. LAPA - VL. PIAUÍ,10428,-46.7609325,-23.502658,2025-10-16 14:02:07-03:00,POINT (320192.6456767436 7399732.226993378)
14:02:00,34020,8002-10,TERM. LAPA - TERM. PIRITUBA,10429,-46.738014500000006,-23.5053255,2025-10-16 14:02:03-03:00,POINT (322536.8545688633 7399465.333528839)
14:02:00,1252,8002-10,TERM. LAPA - TERM. PIRITUBA,10430,-46.726683,-23.487007,2025-10-16 14:02:39-03:00,POINT (323669.7381584813 7401507.906422706)
14:02:00,34019,8001-10,TERM. LAPA - VL. PIAUÍ,10431,-46.71243153125,-23.517581625,2025-10-16 14:02:05-03:00,POINT (325165.77598758077 7398139.466182709)
14:02:00,1252,8002-10,TERM. LAPA - TERM. PIRITUBA,10432,-46.7003425,-23.519705,2025-10-16 14:02:10-03:00,POINT (326403.06558743364 7397918.997805404)
14:02:00,33176,8047-10,LAPA - JARAGUÁ,10433,-46.754654,-23.434525,2025-10-16 14:02:33-03:00,POINT (320741.82503302756 7407285.259982213)
14:02:00,33175,8043-10,LAPA - HAB. TURÍSTICA,10434,-46.735489625,-23.50812275,2025-10-16 14:02:29-03:00,POINT (322798.45935792336 7399158.679616013)
14:02:00,407,8043-10,LAPA - HAB. TURÍSTICA,10435,-46.7264175,-23.51502575,2025-10-16 14:02:01-03:00,POINT (323734.15029613354 7398405.39976499)
14:02:00,1256,8006-10,TERM. PIRITUBA - JD. DONÁRIA,10481,-46.72845425,-23.43592375,2025-10-16 14:02:13-03:00,POINT (323420.85441639775 7407162.734651811)
14:02:00,34024,8006-10,TERM. PIRITUBA - JD. DONÁRIA,10483,-46.72155025000001,-23.449132,2025-10-16 14:02:32-03:00,POINT (324143.80400322354 7405708.498526635)
14:02:00,1256,8006-10,TERM. PIRITUBA - JD. DONÁRIA,10484,-46.726257125,-23.485809000000003,2025-10-16 14:02:40-03:00,POINT (323711.64442866156 7401641.096803225)
14:02:00,1256,8006-10,TERM. PIRITUBA - JD. DONÁRIA,10485,-46.733854,-23.439488,2025-10-16 14:02:38-03:00,POINT (322873.85179156205 7406761.394408941)
14:02:00,35263,1019-10,TERM. PIRITUBA - SOL NASCENTE,10486,-46.7573505,-23.4452745,2025-10-16 14:02:01-03:00,POINT (320480.8155902856 7406091.482015683)
14:02:00,34025,8007-10,TERM. PIRITUBA - HAB. TURÍSTICA,10487,-46.732628250000005,-23.48808275,2025-10-16 14:02:01-03:00,POINT (323063.9137009971 7401381.468055703)
14:02:00,33189,8065-10,LAPA - HAB. TURÍSTICA,10488,-46.70559299999999,-23.50919725,2025-10-16 14:02:25-03:00,POINT (325853.0812926217 7399076.27132543)
