hora_requisicao,codigo_linha,nome_linha,letreiro,codigo_onibus,x,y,hora_gps
14:02:00,33873,414P-10,TERM. NORTE METRÔ CARRÃO - VL. INDUSTRIAL,3117,-46.5336215,-23.5853735,2025-10-16 14:02:22-03:00
14:02:00,34490,7001-10,JD. ÂNGELA - VL. GILDA,7302,-46.781694,-23.7006965,2025-10-16 14:02:40-03:00
14:02:00,34760,7004-10,EST. STO. AMARO/GUIDO CALOI - TERM. JD. JACIRA,7316,-46.7776975,-23.692423,2025-10-16 14:02:43-03:00
14:02:00,2450,189L-10,LAPA - CONEXÃO VL. IÓRIO,10005,-46.710868000000005,-23.4866105,2025-10-16 14:02:08-03:00
14:02:00,2450,189L-10,LAPA - CONEXÃO VL. IÓRIO,10006,-46.7108055,-23.4874315,2025-10-16 14:02:25-03:00
14:02:00,2450,189L-10,LAPA - CONEXÃO VL. IÓRIO,10007,-46.70661375,-23.50178625,2025-10-16 14:02:32-03:00
14:02:00,35218,189L-10,LAPA - CONEXÃO VL. IÓRIO,10008,-46.70176875,-23.51415575,2025-10-16 14:02:40-03:00
14:02:00,35218,189L-10,LAPA - CONEXÃO VL. IÓRIO,10011,-46.702667,-23.5179265,2025-10-16 14:02:42-03:00
14:02:00,34026,8008-10,TERM. PIRITUBA - HAB. TURÍSTICA,10201,-46.752313,-23.483385,2025-10-16 14:02:25-03:00
14:02:00,34026,8008-10,TERM. PIRITUBA - HAB. TURÍSTICA,10202,-46.734941500000005,-23.487548,2025-10-16 14:02:38-03:00
14:02:00,34026,8008-10,TERM. PIRITUBA - HAB. TURÍSTICA,10203,-46.727972,-23.4883325,2025-10-16 14:02:11-03:00
14:02:00,1258,8008-10,TERM. PIRITUBA - HAB. TURÍSTICA,10204,-46.7552685,-23.4837285,2025-10-16 14:02:29-03:00
14:02:00,34026,8008-10,TERM. PIRITUBA - HAB. TURÍSTICA,10205,-46.756864,-23.475456,2025-10-16 14:02:04-03:00
14:02:00,1423,948A-10,METRÔ BARRA FUNDA - VL. ZATT,10206,-46.700479,-23.5232155,2025-10-16 14:02:09-03:00
14:02:00,1423,948A-10,METRÔ BARRA FUNDA - VL. ZATT,10207,-46.728647,-23.4889055,2025-10-16 14:02:06-03:00
14:02:00,34191,948A-10,METRÔ BARRA FUNDA - VL. ZATT,10208,-46.7135935,-23.4694535,2025-10-16 14:02:28-03:00
14:02:00,34022,8004-10,TERM. LAPA - HAB. TURÍSTICA,10210,-46.750852,-23.4842785,2025-10-16 14:02:07-03:00
14:02:00,33233,958P-10,VL. OLÍMPIA - JD. NARDINI,10211,-46.7585985,-23.4800695,2025-10-16 14:02:11-03:00
14:02:00,33233,958P-10,VL. OLÍMPIA - JD. NARDINI,10213,-46.7584765,-23.48044,2025-10-16 14:02:17-03:00
14:02:00,33233,958P-10,VL. OLÍMPIA - JD. NARDINI,10214,-46.7390265,-23.50070625,2025-10-16 14:02:29-03:00
14:02:00,33233,958P-10,VL. OLÍMPIA - JD. NARDINI,10215,-46.6835165,-23.5834015,2025-10-16 14:02:30-03:00
14:02:00,465,958P-10,VL. OLÍMPIA - JD. NARDINI,10216,-46.6863195,-23.578369,2025-10-16 14:02:03-03:00
14:02:00,33233,958P-10,VL. OLÍMPIA - JD. NARDINI,10217,-46.728971,-23.5330285,2025-10-16 14:02:12-03:00
14:02:00,465,958P-10,VL. OLÍMPIA - JD. NARDINI,10218,-46.7394925,-23.505135,2025-10-16 14:02:24-03:00
14:02:00,33233,958P-10,VL. OLÍMPIA - JD. NARDINI,10219,-46.7584765,-23.48044,2025-10-16 14:02:05-03:00
14:02:00,33178,8047-41,METRÔ VL. MADALENA - JARAGUÁ,10220,-46.6901735,-23.5472365,2025-10-16 14:02:12-03:00
14:02:00,410,8047-41,METRÔ VL. MADALENA - JARAGUÁ,10221,-46.7538845,-23.4903975,2025-10-16 14:02:16-03:00
14:02:00,33178,8047-41,METRÔ VL. MADALENA - JARAGUÁ,10222,-46.754795,-23.434307,2025-10-16 14:02:23-03:00
14:02:00,33178,8047-41,METRÔ VL. MADALENA - JARAGUÁ,10223,-46.747114,-23.506648,2025-10-16 14:02:28-03:00
14:02:00,34110,847J-10,JAGUARÉ - CITY JARAGUÁ,10224,-46.6987555,-23.5168675,2025-10-16 14:02:20-03:00
14:02:00,34110,847J-10,JAGUARÉ - CITY JARAGUÁ,10225,-46.73772699999999,-23.55572475,2025-10-16 14:01:57-03:00
14:02:00,1342,847J-10,JAGUARÉ - CITY JARAGUÁ,10226,-46.718044,-23.522176,2025-10-16 14:02:35-03:00
14:02:00,1342,847J-10,JAGUARÉ - CITY JARAGUÁ,10227,-46.717594000000005,-23.482552,2025-10-16 14:02:30-03:00
14:02:00,34110,847J-10,JAGUARÉ - CITY JARAGUÁ,10228,-46.7346295,-23.436523,2025-10-16 14:02:36-03:00
14:02:00,34110,847J-10,JAGUARÉ - CITY JARAGUÁ,10229,-46.734697,-23.4363585,2025-10-16 14:02:14-03:00
14:02:00,34191,948A-10,METRÔ BARRA FUNDA - VL. ZATT,10230,-46.6726035,-23.526428000000003,2025-10-16 14:02:25-03:00
14:02:00,406,8040-10,TERM. LAPA - SOL NASCENTE,10402,-46.71838,-23.5221375,2025-10-16 14:02:35-03:00
14:02:00,420,8062-10,LAPA - PQ. SÃO DOMINGOS,10403,-46.71714,-23.507236,2025-10-16 14:02:19-03:00
14:02:00,33175,8043-10,LAPA - HAB. TURÍSTICA,10407,-46.7566385,-23.47551,2025-10-16 14:02:19-03:00
14:02:00,33176,8047-10,LAPA - JARAGUÁ,10408,-46.766291875,-23.49102875,2025-10-16 14:02:31-03:00
14:02:00,408,8047-10,LAPA - JARAGUÁ,10409,-46.74457099999999,-23.447001,2025-10-16 14:02:38-03:00
14:02:00,33176,8047-10,LAPA - JARAGUÁ,10410,-46.70967375,-23.51994475,2025-10-16 14:02:32-03:00
14:02:00,33176,8047-10,LAPA - JARAGUÁ,10411,-46.701916,-23.5196485,2025-10-16 14:02:38-03:00
14:02:00,408,8047-10,LAPA - JARAGUÁ,10412,-46.7540715,-23.4791805,2025-10-16 14:02:15-03:00
14:02:00,33176,8047-10,LAPA - JARAGUÁ,10413,-46.7468525,-23.447141,2025-10-16 14:02:12-03:00
14:02:00,33176,8047-10,LAPA - JARAGUÁ,10416,-46.7532055,-23.460265,2025-10-16 14:02:26-03:00
