hora_requisicao,codigo_linha,nome_linha,letreiro,codigo_onibus,x,y,hora_gps,geometry,ponto_final,hora_final,distancia_percorrida,segundos_deslocamento
14:02:00,34536,9011-21,CITY JARAGUÁ - CPTM JARAGUÁ,16086,-46.733041,-23.442543,2025-10-16 14:02:01-03:00,POINT (322960.99527348246 7406424.081370043),,,,
14:02:00,1768,9011-21,CITY JARAGUÁ - CPTM JARAGUÁ,16111,-46.737303,-23.45351275,2025-10-16 14:02:03-03:00,POINT (322540.18019509444 7405204.031564292),,,,
14:02:00,878,9011-10,TERM. CACHOEIRINHA - CPTM JARAGUÁ,16228,-46.738116000000005,-23.45467,2025-10-16 14:02:24-03:00,POINT (322458.6652215404 7405074.873403914),,,,
14:02:00,34536,9011-21,CITY JARAGUÁ - CPTM JARAGUÁ,16268,-46.7348485,-23.435501,2025-10-16 14:02:02-03:00,POINT (322766.915743337 7407201.694068195),,,,
14:02:00,877,9009-10,TERM. CACHOEIRINHA - COHAB BRASILÂNDIA,16287,-46.7088905,-23.4476195,2025-10-16 14:02:09-03:00,POINT (325435.2726386716 7405891.40583884),,,,
14:02:00,878,9011-10,TERM. CACHOEIRINHA - CPTM JARAGUÁ,16307,-46.722316,-23.446372500000003,2025-10-16 14:02:28-03:00,POINT (324061.91015832324 7406013.150807742),,,,
14:02:00,33646,9011-10,TERM. CACHOEIRINHA - CPTM JARAGUÁ,16329,-46.6698025,-23.4746865,2025-10-16 14:02:06-03:00,POINT (329463.7224780157 7402940.914158035),,,,
14:02:00,1768,9011-21,CITY JARAGUÁ - CPTM JARAGUÁ,16357,-46.726713125,-23.44610825,2025-10-16 14:02:21-03:00,POINT (323612.2904094352 7406037.03196675),,,,
14:02:00,878,9011-10,TERM. CACHOEIRINHA - CPTM JARAGUÁ,16390,-46.738116000000005,-23.45467,2025-10-16 14:02:01-03:00,POINT (322458.6652215404 7405074.873403914),,,,
14:02:00,33645,9009-10,TERM. CACHOEIRINHA - COHAB BRASILÂNDIA,16414,-46.7003875,-23.4503195,2025-10-16 14:02:17-03:00,POINT (326307.5698592749 7405602.696892496),,,,
14:02:00,1768,9011-21,CITY JARAGUÁ - CPTM JARAGUÁ,16476,-46.7385105,-23.4547945,2025-10-16 14:02:25-03:00,POINT (322418.5267399566 7405060.599262433),,,,
14:02:00,878,9011-10,TERM. CACHOEIRINHA - CPTM JARAGUÁ,16478,-46.738116000000005,-23.45467,2025-10-16 14:02:28-03:00,POINT (322458.6652215404 7405074.873403914),,,,
14:02:00,33645,9009-10,TERM. CACHOEIRINHA - COHAB BRASILÂNDIA,16513,-46.7083635,-23.4397915,2025-10-16 14:02:25-03:00,POINT (325478.8308335297 7406758.9163305955),,,,
14:02:00,33645,9009-10,TERM. CACHOEIRINHA - COHAB BRASILÂNDIA,16544,-46.7101805,-23.44753425,2025-10-16 14:02:00-03:00,POINT (325303.35888075863 7405899.281138465),,,,
14:02:00,877,9009-10,TERM. CACHOEIRINHA - COHAB BRASILÂNDIA,16572,-46.682823,-23.4629595,2025-10-16 14:02:33-03:00,POINT (328118.4875499982 7404224.046814209),,,,
14:02:00,1768,9011-21,CITY JARAGUÁ - CPTM JARAGUÁ,16608,-46.7385105,-23.4547945,2025-10-16 14:02:41-03:00,POINT (322418.5267399566 7405060.599262433),,,,
14:02:00,1768,9011-21,CITY JARAGUÁ - CPTM JARAGUÁ,16669,-46.7385105,-23.4547945,2025-10-16 14:02:31-03:00,POINT (322418.5267399566 7405060.599262433),,,,
14:02:00,877,9009-10,TERM. CACHOEIRINHA - COHAB BRASILÂNDIA,16694,-46.679869,-23.464514,2025-10-16 14:02:14-03:00,POINT (328422.27525016514 7404055.43005561),,,,
14:02:00,34536,9011-21,CITY JARAGUÁ - CPTM JARAGUÁ,16712,-46.73480575,-23.4492795,2025-10-16 14:02:41-03:00,POINT (322789.6691578226 7405675.903643297),,,,
14:02:00,807,8199-10,CEM. VL. NOVA CACHOEIRINHA - PIRITUBA,16971,-46.691782,-23.48521275,2025-10-16 14:02:18-03:00,POINT (327232.2367189276 7401748.9968959065),,,,
14:02:00,33575,8199-10,CEM. VL. NOVA CACHOEIRINHA - PIRITUBA,16972,-46.6637865,-23.476183,2025-10-16 14:01:59-03:00,POINT (330080.1706893464 7402782.317368526),,,,
14:02:00,33575,8199-10,CEM. VL. NOVA CACHOEIRINHA - PIRITUBA,16973,-46.6988505,-23.4995515,2025-10-16 14:02:31-03:00,POINT (326529.0174370605 7400152.60663348),,,,
14:02:00,803,819A-10,JD. PRIMAVERA - CPTM VL. AURORA,16974,-46.74804225,-23.445501125,2025-10-16 14:02:06-03:00,POINT (321432.19253076555 7406077.964459625),,,,
14:02:00,33571,819A-10,JD. PRIMAVERA - CPTM VL. AURORA,16975,-46.752635,-23.4346325,2025-10-16 14:02:12-03:00,POINT (320948.2783950701 7407275.867332808),,,,
14:02:00,33645,9009-10,TERM. CACHOEIRINHA - COHAB BRASILÂNDIA,16979,-46.6693745,-23.4742015,2025-10-16 14:02:24-03:00,POINT (329506.81893439963 7402995.130059436),,,,
14:02:00,33645,9009-10,TERM. CACHOEIRINHA - COHAB BRASILÂNDIA,16980,-46.71342075,-23.44316775,2025-10-16 14:02:41-03:00,POINT (324966.5411311917 7406378.890654575),,,,
14:02:00,33645,9009-10,TERM. CACHOEIRINHA - COHAB BRASILÂNDIA,16982,-46.6777255,-23.4678565,2025-10-16 14:02:18-03:00,POINT (328645.56740860787 7403687.840735886),,,,
14:02:00,877,9009-10,TERM. CACHOEIRINHA - COHAB BRASILÂNDIA,16984,-46.712452000000006,-23.43671025,2025-10-16 14:02:00-03:00,POINT (325057.01902536 7407095.171474321),,,,
14:02:00,878,9011-10,TERM. CACHOEIRINHA - CPTM JARAGUÁ,16985,-46.738116000000005,-23.45467,2025-10-16 14:02:09-03:00,POINT (322458.6652215404 7405074.873403914),,,,
14:02:00,33646,9011-10,TERM. CACHOEIRINHA - CPTM JARAGUÁ,16987,-46.737642,-23.4383895,2025-10-16 14:01:59-03:00,POINT (322485.32973345544 7406878.37766129),,,,
14:02:00,878,9011-10,TERM. CACHOEIRINHA - CPTM JARAGUÁ,16989,-46.6872565,-23.459056500000003,2025-10-16 14:02:14-03:00,POINT (327660.4964978925 7404650.956914173),,,,
14:02:00,878,9011-10,TERM. CACHOEIRINHA - CPTM JARAGUÁ,16990,-46.738116000000005,-23.45467,2025-10-16 14:02:12-03:00,POINT (322458.6652215404 7405074.873403914),,,,
14:02:00,33646,9011-10,TERM. CACHOEIRINHA - CPTM JARAGUÁ,16991,-46.7349715,-23.4477505,2025-10-16 14:02:38-03:00,POINT (322770.6933443558 7405845.022442891),,,,
14:02:00,878,9011-10,TERM. CACHOEIRINHA - CPTM JARAGUÁ,16992,-46.6946565,-23.455257625,2025-10-16 14:02:30-03:00,POINT (326899.54104798334 7405062.757529871),,,,
14:02:00,878,9011-10,TERM. CACHOEIRINHA - CPTM JARAGUÁ,16993,-46.6781805,-23.467498,2025-10-16 14:02:18-03:00,POINT (328598.62366480695 7403726.998408168),,,,
14:02:00,878,9011-10,TERM. CACHOEIRINHA - CPTM JARAGUÁ,16994,-46.736635625000005,-23.439004624999995,2025-10-16 14:01:59-03:00,POINT (322588.98256675276 7406811.498667727),,,,
14:02:00,877,9009-10,TERM. CACHOEIRINHA - COHAB BRASILÂNDIA,16997,-46.7164725,-23.4481065,2025-10-16 14:02:37-03:00,POINT (324661.2483988415 7405828.258438479),,,,
14:02:00,621,107T-10,TERM. PINHEIROS - METRÔ TUCURUVI,21100,-46.679682625,-23.5767725,2025-10-16 14:02:13-03:00,POINT (328586.79803906125 7391624.179910195),,,,
14:02:00,621,107T-10,TERM. PINHEIROS - METRÔ TUCURUVI,21102,-46.6427585,-23.547706,2025-10-16 14:02:05-03:00,POINT (332318.7532062562 7394886.689193693),,,,
14:02:00,621,107T-10,TERM. PINHEIROS - METRÔ TUCURUVI,21104,-46.604151,-23.4808435,2025-10-16 14:02:18-03:00,POINT (336177.5204702054 7402335.454789727),,,,
14:02:00,621,107T-10,TERM. PINHEIROS - METRÔ TUCURUVI,21105,-46.61125,-23.478924,2025-10-16 14:02:08-03:00,POINT (335450.0281811692 7402539.904607415),,,,
14:02:00,33389,107T-10,TERM. PINHEIROS - METRÔ TUCURUVI,21106,-46.60575125,-23.48169375,2025-10-16 14:02:08-03:00,POINT (336015.11865838035 7402239.476394136),,,,
14:02:00,33389,107T-10,TERM. PINHEIROS - METRÔ TUCURUVI,21107,-46.618915,-23.487314,2025-10-16 14:02:20-03:00,POINT (334677.55567100755 7401602.026887989),,,,
